open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1669964400000,1270.79,1277.87,1270.10,1275.11,107501.650,1669967999999,136929332.56381,60451,57888.764,73740949.68673,0
1669968000000,1275.11,1279.69,1272.81,1276.42,112095.630,1669971599999,143042111.03517,61673,58602.466,74787912.21580,0
1669971600000,1276.42,1281.00,1275.50,1277.16,92526.634,1669975199999,118219000.07590,52946,46081.597,58881634.30511,0
1669975200000,1277.17,1280.44,1276.86,1280.40,85560.399,1669978799999,109355908.09034,48570,45003.011,57524177.48568,0
1669978800000,1280.40,1294.00,1278.00,1288.24,381164.474,1669982399999,490580928.12549,185134,204841.749,263647689.16425,0
1669982400000,1288.25,1293.83,1285.63,1290.09,192469.965,1669985999999,248131242.50896,104273,99033.377,127684212.86196,0
1669986000000,1290.09,1297.24,1266.00,1276.09,884299.531,1669989599999,1131227749.55829,489298,421872.102,539861211.73947,0
1669989600000,1276.08,1284.09,1271.72,1279.21,301393.733,1669993199999,385168560.46377,155119,157611.477,201457325.02308,0
1669993200000,1279.22,1286.89,1277.17,1278.37,181345.652,1669996799999,232327723.23161,97508,86901.434,111358296.67433,0
1669996800000,1278.38,1278.84,1273.37,1277.89,139813.984,1670000399999,178522681.85989,77154,68703.553,87727628.91631,0
1670000400000,1277.89,1282.63,1277.15,1278.96,123873.175,1670003999999,158612774.98530,64282,60792.495,77835849.58369,0
1670004000000,1278.95,1283.99,1278.18,1281.63,84743.464,1670007599999,108562232.97130,47749,43716.335,56002383.05030,0
1670007600000,1281.64,1288.06,1279.19,1286.85,116191.393,1670011199999,149145601.51530,59306,66673.393,85593450.39945,0
1670011200000,1286.84,1293.97,1285.83,1290.82,152094.849,1670014799999,195997264.45203,75640,81897.375,105561718.18541,0
1670014800000,1290.82,1296.50,1288.87,1290.23,154972.629,1670018399999,200303455.10498,84398,75868.813,98073845.86207,0
1670018400000,1290.23,1293.75,1289.41,1290.01,67534.326,1670021999999,87189930.67626,49794,35525.854,45869938.07711,0
1670022000000,1290.01,1296.00,1289.00,1295.00,125518.453,1670025599999,162169311.24699,69242,68577.595,88617285.76499,0
1670025600000,1294.99,1312.00,1287.01,1290.91,329368.205,1670029199999,427091919.71630,182575,176757.882,229362848.28573,0
1670029200000,1290.91,1291.41,1285.59,1287.91,93404.934,1670032799999,120319083.06385,62478,45020.191,57993181.42668,0
1670032800000,1287.90,1289.07,1283.43,1286.40,79615.546,1670036399999,102344615.53885,51173,38811.147,49894555.60447,0
1670036400000,1286.41,1286.44,1281.33,1285.07,68370.107,1670039999999,87797048.40301,45112,30165.017,38738349.58874,0
1670040000000,1285.07,1288.47,1283.85,1286.07,66009.292,1670043599999,84927260.37377,46560,32658.561,42017894.46501,0
1670043600000,1286.07,1289.50,1286.02,1287.69,66061.108,1670047199999,85079428.15411,58501,35878.610,46208009.21116,0
1670047200000,1287.67,1288.20,1280.25,1284.21,130478.191,1670050799999,167516728.05835,91654,58478.290,75077076.10362,0
1670050800000,1284.21,1284.68,1272.30,1275.29,284075.385,1670054399999,362715685.72162,148770,116760.908,149062203.72189,0
1670054400000,1275.30,1276.43,1266.11,1269.01,260426.521,1670057999999,331150793.46443,163107,118511.092,150720226.57197,0
1670058000000,1269.01,1273.85,1265.02,1272.91,190360.764,1670061599999,241857914.36097,123965,101514.716,128978097.98468,0
1670061600000,1272.90,1272.91,1268.69,1270.72,92705.795,1670065199999,117830068.65691,72852,41725.006,53037806.13593,0
1670065200000,1270.72,1270.73,1258.50,1268.86,257632.527,1670068799999,326173580.81376,152380,115097.325,145781829.83539,0
1670068800000,1268.86,1271.97,1267.40,1271.88,115102.601,1670072399999,146185677.28680,83219,62843.713,79819247.52794,0
1670072400000,1271.87,1272.70,1269.28,1270.51,97708.940,1670075999999,124196364.86524,71555,48324.849,61426908.01993,0
1670076000000,1270.50,1271.24,1265.64,1268.20,118281.412,1670079599999,150085709.05329,81049,50024.828,63481704.47246,0
1670079600000,1268.20,1274.82,1267.63,1270.49,131349.042,1670083199999,167014387.85476,88978,66669.038,84772611.69088,0
1670083200000,1270.50,1270.96,1266.50,1266.93,100270.397,1670086799999,127208528.64249,75500,44064.564,55905718.64077,0
1670086800000,1266.93,1270.38,1263.05,1270.17,155020.568,1670090399999,196426459.62608,99553,72816.713,92287922.32156,0
1670090400000,1270.17,1270.94,1267.19,1269.24,60311.580,1670093999999,76548309.61326,54113,28332.767,35960214.59168,0
1670094000000,1269.23,1269.99,1261.47,1265.40,107150.606,1670097599999,135598516.80444,77780,52727.195,66726217.75854,0
1670097600000,1265.40,1266.15,1260.56,1264.02,86990.992,1670101199999,109960432.67885,66254,40564.528,51282219.97993,0
1670101200000,1264.01,1264.15,1249.53,1260.46,267954.571,1670104799999,336885142.75923,149197,116543.261,146571935.72652,0
1670104800000,1260.47,1260.96,1235.17,1241.22,372568.946,1670108399999,463677778.40581,219868,165732.299,206247627.19376,0
1670108400000,1241.21,1242.65,1236.10,1239.76,202066.693,1670111999999,250522744.20035,133964,91664.430,113658544.61741,0
1670112000000,1239.76,1252.78,1239.13,1250.74,227397.505,1670115599999,283786164.24774,131662,126618.508,158017973.36285,0
1670115600000,1250.74,1263.43,1247.61,1255.77,242271.255,1670119199999,304287816.41524,137486,130495.019,163894479.59826,0
1670119200000,1255.77,1260.40,1253.09,1259.05,119777.709,1670122799999,150591547.51012,80740,59148.542,74364908.48313,0
1670122800000,1259.05,1259.42,1254.26,1256.48,91072.381,1670126399999,114455839.60366,70691,40461.481,50851825.36806,0
1670126400000,1256.47,1266.39,1256.47,1262.00,149382.558,1670129999999,188366226.80671,94764,84811.659,106949816.92258,0
1670130000000,1261.99,1267.20,1257.65,1259.47,136052.433,1670133599999,171658724.66578,89223,59730.432,75381040.18034,0
1670133600000,1259.47,1260.78,1255.53,1256.85,96719.858,1670137199999,121713713.56487,66990,42428.825,53399766.93469,0
1670137200000,1256.86,1257.41,1252.93,1256.26,88546.993,1670140799999,111193861.74649,67418,45807.601,57530234.63954,0
1670140800000,1256.26,1263.99,1252.10,1257.70,185731.740,1670144399999,233755825.91724,100387,105179.330,132401904.05973,0
1670144400000,1257.70,1261.47,1256.20,1256.65,81894.782,1670147999999,103090817.59436,62466,39854.663,50176028.65973,0
1670148000000,1256.62,1259.31,1255.30,1257.48,75898.807,1670151599999,95402843.79961,62273,38688.584,48633797.34806,0
1670151600000,1257.48,1257.93,1251.00,1254.60,140294.530,1670155199999,176014355.60538,86450,63525.641,79706766.65244,0
1670155200000,1254.60,1257.28,1248.62,1256.64,129088.929,1670158799999,161917749.90688,83877,65582.656,82280320.96956,0
