open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1666569600000,19560.60,19593.30,19146.00,19318.10,476676.536,1666655999999,9216319528.28483,2450024,232513.239,4495883147.47700,0
1666656000000,19318.10,20415.00,19228.00,20068.30,777306.534,1666742399999,15400549183.34802,4132715,403731.355,7999850052.08242,0
1666742400000,20068.30,21030.00,20041.10,20758.30,841864.982,1666828799999,17352691191.05276,4594814,425235.003,8765776252.23314,0
1666828800000,20758.40,20863.70,20170.00,20285.50,614910.045,1666915199999,12645404154.35179,3746823,296534.203,6100035333.43200,0
1666915200000,20285.60,20740.00,19951.00,20582.80,595538.882,1667001599999,12129765185.26634,3464429,297991.899,6071710763.19442,0
1667001600000,20582.70,21088.00,20547.80,20796.70,482217.170,1667087999999,10032159490.87770,2764585,240831.261,5011025623.65917,0
1667088000000,20796.70,20925.20,20503.00,20615.60,295389.690,1667174399999,6114966321.62948,1859492,145513.555,3013119568.54830,0
1667174400000,20615.50,20838.70,20225.40,20482.00,478797.266,1667260799999,9815305143.42379,2823774,235335.712,4825462674.58190,0
1667260800000,20482.10,20687.00,20320.00,20472.10,314676.187,1667347199999,6448795091.82572,1937679,156085.396,3199168629.38093,0
1667347200000,20472.10,20796.00,20050.00,20140.10,651535.761,1667433599999,13312093111.48019,3539726,324205.203,6625901142.71293,0
1667433600000,20140.20,20400.00,20026.00,20199.70,372121.061,1667519999999,7526916784.08875,2000313,185931.450,3761375643.75300,0
1667520000000,20199.80,21297.00,20171.60,21137.60,824515.215,1667606399999,17139316861.70927,4051389,421800.646,8768710759.88774,0
1667606400000,21137.60,21473.70,21071.10,21289.90,303983.372,1667692799999,6482077789.53821,1973421,153861.129,3280961716.88031,0
1667692800000,21289.80,21355.80,20863.30,20900.00,277148.646,1667779199999,5867597250.95476,1654568,132682.069,2809748144.40810,0
1667779200000,20900.00,21062.60,20374.00,20578.60,554408.316,1667865599999,11501587222.14423,3049391,268943.792,5580764313.77520,0
1667865600000,20578.50,20685.00,16830.00,18534.00,2046476.313,1667951999999,39317019209.93521,10670666,996475.056,19150744714.54398,0
1667952000000,18533.90,18574.90,15462.60,15905.00,2065606.412,1668038399999,35439309964.88870,12234814,994054.311,17061073283.65767,0
1668038400000,15905.00,18230.00,15730.00,17588.00,1497093.602,1668124799999,25510406114.43922,9507944,762434.255,12996605641.60776,0
1668124800000,17588.00,17678.00,16343.00,17058.30,955344.602,1668211199999,16277121145.55291,6729390,478490.175,8154856435.62334,0
1668211200000,17058.40,17110.80,16623.80,16806.90,304455.717,1668297599999,5128002410.89517,2462955,154268.458,2598752238.66803,0
1668297600000,16806.90,16950.00,16210.30,16321.20,349742.836,1668383999999,5801587266.16716,2521646,170553.271,2829566179.88424,0
1668384000000,16321.30,17188.00,15805.50,16605.20,934392.484,1668470399999,15414723480.12307,6045427,470329.645,7762122383.11117,0
